# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
3.16946e-05     	9.65626004e-03	2.91673482e-01	-2.82017222e-01	4.58952563e-01	5.69101073e-01	-1.10148510e-01	3.39624792e-01	2.86845352e-01	-6.03516252e-03	-7.39465050e-22	-6.03516252e-03	6.03516252e-03
6.33662e-05     	9.97965872e-03	2.91857570e-01	-2.81877911e-01	4.58988385e-01	5.68980720e-01	-1.09992335e-01	3.39486528e-01	2.86867741e-01	-6.23728670e-03	-7.54767606e-22	-6.23728670e-03	6.23728670e-03
9.50402e-05     	1.01121334e-02	2.91785600e-01	-2.81673467e-01	4.58767254e-01	5.68622796e-01	-1.09855543e-01	3.39239170e-01	2.86729533e-01	-6.32008338e-03	-7.57268157e-22	-6.32008338e-03	6.32008338e-03
0.000126685     	1.01945855e-02	2.91775282e-01	-2.81580696e-01	4.58684782e-01	5.68503936e-01	-1.09819154e-01	3.39161545e-01	2.86677989e-01	-6.37161597e-03	-7.57456108e-22	-6.37161597e-03	6.37161597e-03
0.000158284     	1.02028880e-02	2.91726691e-01	-2.81523803e-01	4.58600396e-01	5.68431477e-01	-1.09831081e-01	3.39131279e-01	2.86625247e-01	-6.37680502e-03	-7.58613706e-22	-6.37680502e-03	6.37680502e-03
0.000189874     	1.01878354e-02	2.91618188e-01	-2.81430352e-01	4.58438832e-01	5.68278297e-01	-1.09839465e-01	3.39058881e-01	2.86524270e-01	-6.36739713e-03	-7.62306880e-22	-6.36739713e-03	6.36739713e-03
0.000221465     	1.01702340e-02	2.91531162e-01	-2.81360929e-01	4.58313673e-01	5.68176050e-01	-1.09862377e-01	3.39019213e-01	2.86446045e-01	-6.35639624e-03	-7.65866760e-22	-6.35639624e-03	6.35639624e-03
0.00025304      	1.01498114e-02	2.91482641e-01	-2.81332830e-01	4.58252377e-01	5.68146703e-01	-1.09894326e-01	3.39020515e-01	2.86407736e-01	-6.34363215e-03	-7.69406142e-22	-6.34363215e-03	6.34363215e-03
0.000284589     	1.01434938e-02	2.91466045e-01	-2.81322552e-01	4.58230878e-01	5.68162520e-01	-1.09931642e-01	3.39047081e-01	2.86394298e-01	-6.33968362e-03	-7.72201017e-22	-6.33968362e-03	6.33968362e-03
0.000316106     	1.01482370e-02	2.91468257e-01	-2.81320020e-01	4.58230622e-01	5.68199903e-01	-1.09969281e-01	3.39084592e-01	2.86394139e-01	-6.34264811e-03	-7.74371003e-22	-6.34264811e-03	6.34264811e-03
0.000347586     	1.01525896e-02	2.91484969e-01	-2.81332379e-01	4.58253878e-01	5.68262187e-01	-1.10008309e-01	3.39135248e-01	2.86408674e-01	-6.34536850e-03	-7.75844539e-22	-6.34536850e-03	6.34536850e-03
0.000379023     	1.01602786e-02	2.91517551e-01	-2.81357272e-01	4.58299858e-01	5.68344039e-01	-1.10044181e-01	3.39194110e-01	2.86437411e-01	-6.35017411e-03	-7.76532662e-22	-6.35017411e-03	6.35017411e-03
0.00041041      	1.01698592e-02	2.91568818e-01	-2.81398959e-01	4.58374221e-01	5.68454605e-01	-1.10080383e-01	3.39267494e-01	2.86483888e-01	-6.35616199e-03	-7.76606495e-22	-6.35616199e-03	6.35616199e-03
0.000441741     	1.01830261e-02	2.91623076e-01	-2.81440050e-01	4.58450501e-01	5.68563836e-01	-1.10113335e-01	3.39338585e-01	2.86531563e-01	-6.36439129e-03	-7.76061567e-22	-6.36439129e-03	6.36439129e-03
0.000473009     	1.01919933e-02	2.91671943e-01	-2.81479950e-01	4.58521514e-01	5.68668494e-01	-1.10146980e-01	3.39407737e-01	2.86575946e-01	-6.36999581e-03	-7.75235267e-22	-6.36999581e-03	6.36999581e-03
0.000504216     	1.01970113e-02	2.91706798e-01	-2.81509787e-01	4.58573268e-01	5.68751334e-01	-1.10178066e-01	3.39464700e-01	2.86608293e-01	-6.37313206e-03	-7.74295495e-22	-6.37313206e-03	6.37313206e-03
0.000535387     	1.02005771e-02	2.91722022e-01	-2.81521445e-01	4.58594774e-01	5.68796788e-01	-1.10202014e-01	3.39499401e-01	2.86621734e-01	-6.37536067e-03	-7.73345804e-22	-6.37536067e-03	6.37536067e-03
0.000566556     	1.02020551e-02	2.91721625e-01	-2.81519570e-01	4.58592956e-01	5.68813868e-01	-1.10220912e-01	3.39517390e-01	2.86620598e-01	-6.37628443e-03	-7.72553530e-22	-6.37628443e-03	6.37628443e-03
0.000597754     	1.02041047e-02	2.91709680e-01	-2.81505575e-01	4.58572204e-01	5.68806056e-01	-1.10233852e-01	3.39519954e-01	2.86607627e-01	-6.37756546e-03	-7.71974121e-22	-6.37756546e-03	6.37756546e-03
0.000628996     	1.02073655e-02	2.91685150e-01	-2.81477785e-01	4.58530348e-01	5.68770587e-01	-1.10240239e-01	3.39505413e-01	2.86581468e-01	-6.37960345e-03	-7.71556261e-22	-6.37960345e-03	6.37960345e-03
0.000660241     	1.02105035e-02	2.91644519e-01	-2.81434015e-01	4.58462827e-01	5.68703004e-01	-1.10240177e-01	3.39471590e-01	2.86539267e-01	-6.38156469e-03	-7.71417139e-22	-6.38156469e-03	6.38156469e-03
0.000691451     	1.02139293e-02	2.91599817e-01	-2.81385888e-01	4.58388564e-01	5.68625056e-01	-1.10236492e-01	3.39430774e-01	2.86492852e-01	-6.38370583e-03	-7.71571740e-22	-6.38370583e-03	6.38370583e-03
0.000722649     	1.02167104e-02	2.91546465e-01	-2.81329754e-01	4.58300975e-01	5.68529034e-01	-1.10228059e-01	3.39378547e-01	2.86438110e-01	-6.38544401e-03	-7.71924485e-22	-6.38544401e-03	6.38544401e-03
0.000753858     	1.02189187e-02	2.91487161e-01	-2.81268242e-01	4.58204322e-01	5.68420035e-01	-1.10215713e-01	3.39317874e-01	2.86377701e-01	-6.38682420e-03	-7.72489626e-22	-6.38682420e-03	6.38682420e-03
0.000785094     	1.02202855e-02	2.91420371e-01	-2.81200086e-01	4.58096366e-01	5.68295413e-01	-1.10199047e-01	3.39247230e-01	2.86310229e-01	-6.38767844e-03	-7.73171406e-22	-6.38767844e-03	6.38767844e-03
0.000816362     	1.02217288e-02	2.91365273e-01	-2.81143544e-01	4.58007053e-01	5.68191285e-01	-1.10184231e-01	3.39187758e-01	2.86254408e-01	-6.38858053e-03	-7.73948516e-22	-6.38858053e-03	6.38858053e-03
0.000847662     	1.02218612e-02	2.91298154e-01	-2.81076293e-01	4.57899558e-01	5.68064732e-01	-1.10165174e-01	3.39114953e-01	2.86187224e-01	-6.38866323e-03	-7.74792833e-22	-6.38866323e-03	6.38866323e-03
0.000878989     	1.02213930e-02	2.91232261e-01	-2.81010868e-01	4.57794503e-01	5.67939950e-01	-1.10145447e-01	3.39042698e-01	2.86121565e-01	-6.38837061e-03	-7.75665773e-22	-6.38837061e-03	6.38837061e-03
0.00091032      	1.02198710e-02	2.91170428e-01	-2.80950557e-01	4.57696787e-01	5.67823564e-01	-1.10126777e-01	3.38975170e-01	2.86060492e-01	-6.38741940e-03	-7.76511366e-22	-6.38741940e-03	6.38741940e-03
0.000941629     	1.02189134e-02	2.91107407e-01	-2.80888494e-01	4.57596721e-01	5.67704117e-01	-1.10107396e-01	3.38905757e-01	2.85997951e-01	-6.38682084e-03	-7.77320508e-22	-6.38682084e-03	6.38682084e-03
0.000972911     	1.02174410e-02	2.91049028e-01	-2.80831587e-01	4.57504493e-01	5.67594336e-01	-1.10089843e-01	3.38842089e-01	2.85940308e-01	-6.38590062e-03	-7.78044632e-22	-6.38590062e-03	6.38590062e-03
0.00100416      	1.02165259e-02	2.90994888e-01	-2.80778362e-01	4.57418600e-01	5.67492000e-01	-1.10073400e-01	3.38782700e-01	2.85886625e-01	-6.38532872e-03	-7.78685669e-22	-6.38532872e-03	6.38532872e-03
0.00103539      	1.02151885e-02	2.90938891e-01	-2.80723703e-01	4.57330075e-01	5.67386864e-01	-1.10056789e-01	3.38721826e-01	2.85831297e-01	-6.38449279e-03	-7.79202381e-22	-6.38449279e-03	6.38449279e-03
0.00106658      	1.02142515e-02	2.90892528e-01	-2.80678276e-01	4.57256643e-01	5.67300304e-01	-1.10043661e-01	3.38671982e-01	2.85785402e-01	-6.38390721e-03	-7.79630869e-22	-6.38390721e-03	6.38390721e-03
0.00109774      	1.02136055e-02	2.90850162e-01	-2.80636557e-01	4.57189375e-01	5.67221475e-01	-1.10032100e-01	3.38626787e-01	2.85743359e-01	-6.38350345e-03	-7.79954967e-22	-6.38350345e-03	6.38350345e-03
0.00112888      	1.02129124e-02	2.90809445e-01	-2.80596533e-01	4.57124782e-01	5.67146380e-01	-1.10021598e-01	3.38583989e-01	2.85702989e-01	-6.38307025e-03	-7.80184269e-22	-6.38307025e-03	6.38307025e-03
0.00116         	1.02118989e-02	2.90772151e-01	-2.80560252e-01	4.57065922e-01	5.67078256e-01	-1.10012334e-01	3.38545295e-01	2.85666201e-01	-6.38243679e-03	-7.80329574e-22	-6.38243679e-03	6.38243679e-03
0.0011911       	1.02108487e-02	2.90737572e-01	-2.80526723e-01	4.57011436e-01	5.67014855e-01	-1.10003419e-01	3.38509137e-01	2.85632148e-01	-6.38178041e-03	-7.80412602e-22	-6.38178041e-03	6.38178041e-03
0.0012222       	1.02092432e-02	2.90704724e-01	-2.80495481e-01	4.56960164e-01	5.66955697e-01	-1.09995533e-01	3.38475615e-01	2.85600102e-01	-6.38077698e-03	-7.80439363e-22	-6.38077698e-03	6.38077698e-03
0.0012533       	1.02074667e-02	2.90674751e-01	-2.80467284e-01	4.56913628e-01	5.66902060e-01	-1.09988432e-01	3.38445246e-01	2.85571018e-01	-6.37966671e-03	-7.80433982e-22	-6.37966671e-03	6.37966671e-03
0.00128439      	1.02056329e-02	2.90648189e-01	-2.80442556e-01	4.56872596e-01	5.66854963e-01	-1.09982367e-01	3.38418665e-01	2.85545372e-01	-6.37852054e-03	-7.80407636e-22	-6.37852054e-03	6.37852054e-03
0.0013155       	1.02029560e-02	2.90622913e-01	-2.80419957e-01	4.56834296e-01	5.66811214e-01	-1.09976918e-01	3.38394066e-01	2.85521435e-01	-6.37684748e-03	-7.80358963e-22	-6.37684748e-03	6.37684748e-03
0.00134661      	1.02005702e-02	2.90600595e-01	-2.80400024e-01	4.56800495e-01	5.66772920e-01	-1.09972425e-01	3.38372673e-01	2.85500309e-01	-6.37535640e-03	-7.80318439e-22	-6.37535640e-03	6.37535640e-03
0.00137771      	1.01975481e-02	2.90580188e-01	-2.80382640e-01	4.56770263e-01	5.66739466e-01	-1.09969203e-01	3.38354335e-01	2.85481414e-01	-6.37346754e-03	-7.80274467e-22	-6.37346754e-03	6.37346754e-03
0.0014088       	1.01939757e-02	2.90561866e-01	-2.80367891e-01	4.56743806e-01	5.66711131e-01	-1.09967325e-01	3.38339228e-01	2.85464879e-01	-6.37123482e-03	-7.80241544e-22	-6.37123482e-03	6.37123482e-03
0.00143988      	1.01904636e-02	2.90544813e-01	-2.80354349e-01	4.56719330e-01	5.66685185e-01	-1.09965855e-01	3.38325520e-01	2.85449581e-01	-6.36903978e-03	-7.80231936e-22	-6.36903978e-03	6.36903978e-03
0.00147097      	1.01861347e-02	2.90529067e-01	-2.80342933e-01	4.56697600e-01	5.66663374e-01	-1.09965774e-01	3.38314574e-01	2.85436000e-01	-6.36633419e-03	-7.80229743e-22	-6.36633419e-03	6.36633419e-03
0.00150205      	1.01819194e-02	2.90515233e-01	-2.80333313e-01	4.56678837e-01	5.66644902e-01	-1.09966065e-01	3.38305484e-01	2.85424273e-01	-6.36369962e-03	-7.80252740e-22	-6.36369962e-03	6.36369962e-03
0.00153314      	1.01773483e-02	2.90502788e-01	-2.80325439e-01	4.56662582e-01	5.66629462e-01	-1.09966881e-01	3.38298172e-01	2.85414114e-01	-6.36084267e-03	-7.80289157e-22	-6.36084267e-03	6.36084267e-03
0.00156424      	1.01724844e-02	2.90491271e-01	-2.80318787e-01	4.56648046e-01	5.66616353e-01	-1.09968307e-01	3.38292330e-01	2.85405029e-01	-6.35780275e-03	-7.80330868e-22	-6.35780275e-03	6.35780275e-03
0.00159534      	1.01679419e-02	2.90481856e-01	-2.80313914e-01	4.56636616e-01	5.66606880e-01	-1.09970264e-01	3.38288572e-01	2.85397885e-01	-6.35496369e-03	-7.80385509e-22	-6.35496369e-03	6.35496369e-03
