# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
3.16946e-05      4.39231945e+02 -9.24134261e+00 -5.20050462e+02 4.39434233e+02 -3.76236277e+00 -5.19788069e+02 -2.02287532e-01 -5.47897984e+00 -2.62393761e-01
6.33662e-05      4.39266228e+02 -9.55084526e+00 -5.19838746e+02 4.39471148e+02 -4.07575669e+00 -5.19580907e+02 -2.04919822e-01 -5.47508857e+00 -2.57838836e-01
9.50402e-05      4.39054598e+02 -9.67762768e+00 -5.19459978e+02 4.39261201e+02 -4.20676156e+00 -5.19205338e+02 -2.06602714e-01 -5.47086612e+00 -2.54640723e-01
0.000126685      4.38975671e+02 -9.75653695e+00 -5.19341115e+02 4.39183539e+02 -4.29003031e+00 -5.19089077e+02 -2.07868596e-01 -5.46650664e+00 -2.52038817e-01
0.000158284      4.38894910e+02 -9.76448268e+00 -5.19294771e+02 4.39103775e+02 -4.30245147e+00 -5.19044943e+02 -2.08864441e-01 -5.46203121e+00 -2.49827530e-01
0.000189874      4.38740288e+02 -9.75007686e+00 -5.19183911e+02 4.38949965e+02 -4.29262412e+00 -5.18936029e+02 -2.09676883e-01 -5.45745274e+00 -2.47881736e-01
0.000221465      4.38620507e+02 -9.73323174e+00 -5.19123170e+02 4.38830851e+02 -4.28042517e+00 -5.18877021e+02 -2.10344199e-01 -5.45280658e+00 -2.46149259e-01
0.00025304       4.38561845e+02 -9.71368673e+00 -5.19125163e+02 4.38772734e+02 -4.26557931e+00 -5.18880562e+02 -2.10888376e-01 -5.44810741e+00 -2.44600611e-01
0.000284589      4.38541269e+02 -9.70764054e+00 -5.19165843e+02 4.38752600e+02 -4.26427988e+00 -5.18922636e+02 -2.11330485e-01 -5.44336066e+00 -2.43206933e-01
0.000316106      4.38541025e+02 -9.71217992e+00 -5.19223282e+02 4.38752713e+02 -4.27360750e+00 -5.18981340e+02 -2.11688649e-01 -5.43857242e+00 -2.41941693e-01
0.000347586      4.38563282e+02 -9.71634552e+00 -5.19300849e+02 4.38775270e+02 -4.28259487e+00 -5.19060082e+02 -2.11987793e-01 -5.43375065e+00 -2.40766695e-01
0.000379023      4.38607286e+02 -9.72370410e+00 -5.19390980e+02 4.38819520e+02 -4.29480080e+00 -5.19151308e+02 -2.12234195e-01 -5.42890330e+00 -2.39672151e-01
0.00041041       4.38678454e+02 -9.73287305e+00 -5.19503350e+02 4.38890890e+02 -4.30883794e+00 -5.19264706e+02 -2.12436009e-01 -5.42403511e+00 -2.38644878e-01
0.000441741      4.38751456e+02 -9.74547417e+00 -5.19612209e+02 4.38964053e+02 -4.32631191e+00 -5.19374528e+02 -2.12596189e-01 -5.41916226e+00 -2.37681019e-01
