# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	-1.60360200e-01	-3.33238189e-01	1.72877989e-01	-4.04892943e-01	-3.48513902e-01	-5.63790402e-02	-1.46067431e-01	-2.53058089e-01	1.00225125e-01	2.26383590e-22	1.00225125e-01	-1.00225125e-01
20              	-1.30795677e-02	7.33202681e-02	-8.63998358e-02	1.27776083e-01	1.96345267e-01	-6.85691836e-02	1.32457225e-01	7.98600519e-02	8.17472981e-03	-9.78561238e-22	8.17472981e-03	-8.17472981e-03
30              	2.16467344e-02	1.68562055e-01	-1.46915320e-01	2.52381900e-01	3.15720927e-01	-6.33390272e-02	1.89529977e-01	1.57738688e-01	-1.35292090e-02	-1.01815965e-21	-1.35292090e-02	1.35292090e-02
40              	2.35213443e-02	1.83642854e-01	-1.60121509e-01	2.75011491e-01	3.39078924e-01	-6.40674333e-02	2.01573179e-01	1.71882182e-01	-1.47008402e-02	-9.44748126e-22	-1.47008402e-02	1.47008402e-02
50              	2.24962024e-02	1.91244666e-01	-1.68748464e-01	2.87994503e-01	3.54928141e-01	-6.69336375e-02	2.10930889e-01	1.79996565e-01	-1.40601265e-02	-9.22500977e-22	-1.40601265e-02	1.40601265e-02
60              	2.19975760e-02	1.98572188e-01	-1.76574612e-01	3.00117441e-01	3.70161823e-01	-7.00443822e-02	2.20103103e-01	1.87573400e-01	-1.37484850e-02	-9.34065478e-22	-1.37484850e-02	1.37484850e-02
70              	2.15377673e-02	2.05392909e-01	-1.83855142e-01	3.11398441e-01	3.84183141e-01	-7.27846998e-02	2.28483920e-01	1.94624026e-01	-1.34611045e-02	-9.24527862e-22	-1.34611045e-02	1.34611045e-02
80              	2.10717826e-02	2.13830676e-01	-1.92758894e-01	3.25271656e-01	4.01694109e-01	-7.64224535e-02	2.39058281e-01	2.03294785e-01	-1.31698641e-02	-9.09835989e-22	-1.31698641e-02	1.31698641e-02
90              	2.04932791e-02	2.21384821e-01	-2.00891542e-01	3.37821090e-01	4.17166401e-01	-7.93453115e-02	2.48255856e-01	2.11138181e-01	-1.28082995e-02	-9.14016109e-22	-1.28082995e-02	1.28082995e-02
100             	1.99095721e-02	2.28528674e-01	-2.08619102e-01	3.49718220e-01	4.31889194e-01	-8.21709734e-02	2.57030083e-01	2.18573888e-01	-1.24434825e-02	-9.07636523e-22	-1.24434825e-02	1.24434825e-02
110             	1.94154898e-02	2.32478428e-01	-2.13062938e-01	3.56433093e-01	4.39980517e-01	-8.35474244e-02	2.61763971e-01	2.22770683e-01	-1.21346811e-02	-9.05748915e-22	-1.21346811e-02	1.21346811e-02
120             	1.89474343e-02	2.36126863e-01	-2.17179429e-01	3.62645034e-01	4.47325359e-01	-8.46803256e-02	2.66002842e-01	2.26653146e-01	-1.18421465e-02	-9.15963380e-22	-1.18421465e-02	1.18421465e-02
130             	1.82987731e-02	2.38525404e-01	-2.20226630e-01	3.67001627e-01	4.52507979e-01	-8.55063517e-02	2.69007165e-01	2.29376017e-01	-1.14367332e-02	-9.05580868e-22	-1.14367332e-02	1.14367332e-02
140             	1.81351865e-02	2.40035870e-01	-2.21900683e-01	3.69549242e-01	4.55808335e-01	-8.62590927e-02	2.71033714e-01	2.30968276e-01	-1.13344916e-02	-9.13157543e-22	-1.13344916e-02	1.13344916e-02
150             	1.76146430e-02	2.44521226e-01	-2.26906583e-01	3.77142246e-01	4.65195084e-01	-8.80528373e-02	2.76623961e-01	2.35713904e-01	-1.10091518e-02	-9.11992085e-22	-1.10091518e-02	1.10091518e-02
160             	1.72302541e-02	2.47093966e-01	-2.29863712e-01	3.81566142e-01	4.70360743e-01	-8.87946010e-02	2.79577672e-01	2.38478839e-01	-1.07689088e-02	-8.98729695e-22	-1.07689088e-02	1.07689088e-02
170             	1.73309006e-02	2.49367014e-01	-2.32036114e-01	3.85122503e-01	4.74342861e-01	-8.92203585e-02	2.81781610e-01	2.40701564e-01	-1.08318129e-02	-9.05940568e-22	-1.08318129e-02	1.08318129e-02
180             	1.71275451e-02	2.52117831e-01	-2.34990286e-01	3.89686494e-01	4.80276798e-01	-9.05903037e-02	2.85433551e-01	2.43554059e-01	-1.07047157e-02	-9.13322562e-22	-1.07047157e-02	1.07047157e-02
190             	1.67521617e-02	2.55425401e-01	-2.38673239e-01	3.95278912e-01	4.87153611e-01	-9.18746992e-02	2.89514155e-01	2.47049320e-01	-1.04701010e-02	-8.82388358e-22	-1.04701010e-02	1.04701010e-02
200             	1.63441338e-02	2.56581482e-01	-2.40237349e-01	3.97455065e-01	4.90407839e-01	-9.29527737e-02	2.91680306e-01	2.48409416e-01	-1.02150836e-02	-8.70827506e-22	-1.02150836e-02	1.02150836e-02
210             	1.57271061e-02	2.56845269e-01	-2.41118162e-01	3.98370745e-01	4.92120322e-01	-9.37495771e-02	2.92934950e-01	2.48981715e-01	-9.82944134e-03	-8.55903362e-22	-9.82944134e-03	9.82944134e-03
220             	1.54592143e-02	2.57028604e-01	-2.41569390e-01	3.98878395e-01	4.93402617e-01	-9.45242216e-02	2.93963419e-01	2.49298997e-01	-9.66200894e-03	-8.63554716e-22	-9.66200894e-03	9.66200894e-03
230             	1.55324637e-02	2.58476408e-01	-2.42943944e-01	4.01136282e-01	4.96499138e-01	-9.53628569e-02	2.95930998e-01	2.50710176e-01	-9.70778984e-03	-8.71021294e-22	-9.70778984e-03	9.70778984e-03
240             	1.57194497e-02	2.59167965e-01	-2.43448515e-01	4.02093184e-01	4.97797124e-01	-9.57039393e-02	2.96750531e-01	2.51308240e-01	-9.82465606e-03	-8.74166569e-22	-9.82465606e-03	9.82465606e-03
250             	1.54008758e-02	2.61007441e-01	-2.45606565e-01	4.05291205e-01	5.02085672e-01	-9.67944664e-02	2.99440069e-01	2.53307003e-01	-9.62554736e-03	-8.69222002e-22	-9.62554736e-03	9.62554736e-03
260             	1.50622957e-02	2.61645820e-01	-2.46583524e-01	4.06583476e-01	5.03808252e-01	-9.72247767e-02	3.00516515e-01	2.54114672e-01	-9.41393484e-03	-8.46315853e-22	-9.41393484e-03	9.41393484e-03
270             	1.43647448e-02	2.62473043e-01	-2.48108298e-01	4.08465072e-01	5.06597992e-01	-9.81329194e-02	3.02365456e-01	2.55290670e-01	-8.97796552e-03	-8.37786315e-22	-8.97796552e-03	8.97796552e-03
280             	1.43935152e-02	2.61446669e-01	-2.47053154e-01	4.06799859e-01	5.04771173e-01	-9.79713140e-02	3.01371244e-01	2.54249912e-01	-8.99594700e-03	-8.32833596e-22	-8.99594700e-03	8.99594700e-03
290             	1.45860709e-02	2.60933971e-01	-2.46347900e-01	4.05825497e-01	5.03681252e-01	-9.78557550e-02	3.00768504e-01	2.53640936e-01	-9.11629432e-03	-8.37591717e-22	-9.11629432e-03	9.11629432e-03
