# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               -2.45551556e+02 -6.19992319e+02 -3.46649871e-19 -2.51414584e+02 -6.19629461e+02 -3.49585577e-19 5.86302810e+00 -3.62857174e-01 2.93570531e-21
20               -2.00280880e+01 1.95657127e+02 1.49842190e-18 -2.92711395e+01 1.96215330e+02 1.49939765e-18 9.24305144e+00 -5.58203151e-01 -9.75756156e-22
30               3.31465620e+01 3.86459784e+02 1.55905696e-18 2.17522400e+01 3.87154151e+02 1.55716791e-18 1.13943220e+01 -6.94366378e-01 1.88905012e-21
40               3.60170585e+01 4.21111345e+02 1.44664557e-18 2.39825715e+01 4.21837501e+02 1.44399206e-18 1.20344871e+01 -7.26156377e-01 2.65350659e-21
50               3.44473099e+01 4.40991583e+02 1.41257962e-18 2.25843774e+01 4.41693466e+02 1.41057066e-18 1.18629325e+01 -7.01882640e-01 2.00896318e-21
60               3.36837882e+01 4.59554831e+02 1.43028776e-18 2.22398387e+01 4.60214656e+02 1.42885636e-18 1.14439496e+01 -6.59824523e-01 1.43139819e-21
70               3.29797061e+01 4.76828863e+02 1.41568329e-18 2.20037437e+01 4.77440335e+02 1.41407145e-18 1.09759624e+01 -6.11471893e-01 1.61183621e-21
80               3.22661671e+01 4.98072223e+02 1.39318636e-18 2.17487011e+01 4.98635985e+02 1.39191295e-18 1.05174659e+01 -5.63761857e-01 1.27341158e-21
90               3.13803337e+01 5.17288544e+02 1.39958717e-18 2.12836570e+01 5.17810524e+02 1.39869679e-18 1.00966767e+01 -5.21979931e-01 8.90381312e-22
100              3.04865322e+01 5.35506025e+02 1.38981843e-18 2.07635356e+01 5.35988001e+02 1.38720144e-18 9.72299663e+00 -4.81976801e-01 2.61698856e-21
110              2.97299687e+01 5.45788173e+02 1.38692803e-18 2.03437579e+01 5.46233008e+02 1.38468094e-18 9.38621083e+00 -4.44835292e-01 2.24708366e-21
120              2.90132588e+01 5.55300208e+02 1.40256893e-18 1.99063288e+01 5.55712644e+02 1.40040532e-18 9.10692998e+00 -4.12436520e-01 2.16360998e-21
130              2.80199962e+01 5.61971242e+02 1.38667070e-18 1.91369854e+01 5.62356787e+02 1.38347074e-18 8.88301082e+00 -3.85545095e-01 3.19996839e-21
140              2.77695043e+01 5.65872277e+02 1.39827249e-18 1.90724726e+01 5.66234507e+02 1.39576977e-18 8.69703171e+00 -3.62230335e-01 2.50271636e-21
150              2.69724220e+01 5.77499065e+02 1.39648788e-18 1.84297759e+01 5.77839969e+02 1.39223856e-18 8.54264608e+00 -3.40903835e-01 4.24932125e-21
160              2.63838266e+01 5.84273155e+02 1.37617984e-18 1.79549944e+01 5.84596167e+02 1.37228065e-18 8.42883223e+00 -3.23011814e-01 3.89919150e-21
170              2.65379415e+01 5.89718832e+02 1.38722149e-18 1.81861236e+01 5.90027492e+02 1.38242405e-18 8.35181793e+00 -3.08659620e-01 4.79744081e-21
180              2.62265534e+01 5.96707444e+02 1.39852517e-18 1.79205550e+01 5.97004767e+02 1.39223520e-18 8.30599841e+00 -2.97322383e-01 6.28997250e-21
190              2.56517476e+01 6.05270834e+02 1.35115717e-18 1.73843274e+01 6.05557631e+02 1.34414960e-18 8.26742017e+00 -2.86796689e-01 7.00757034e-21
200              2.50269549e+01 6.08603068e+02 1.33345462e-18 1.67929695e+01 6.08879843e+02 1.33158885e-18 8.23398539e+00 -2.76775206e-01 1.86577295e-21
210              2.40821313e+01 6.10005203e+02 1.31060202e-18 1.58820957e+01 6.10271783e+02 1.30773664e-18 8.20003555e+00 -2.66580489e-01 2.86538453e-21
220              2.36719219e+01 6.10782542e+02 1.32231816e-18 1.55054163e+01 6.11038545e+02 1.32041088e-18 8.16650564e+00 -2.56002369e-01 1.90727516e-21
230              2.37840851e+01 6.14239931e+02 1.33375136e-18 1.56484392e+01 6.14485481e+02 1.33043367e-18 8.13564590e+00 -2.45549621e-01 3.31768560e-21
240              2.40704074e+01 6.15705189e+02 1.33856756e-18 1.59590982e+01 6.15943831e+02 1.33685402e-18 8.11130917e+00 -2.38642936e-01 1.71353367e-21
250              2.35825910e+01 6.20602158e+02 1.33099619e-18 1.54966099e+01 6.20833976e+02 1.32773939e-18 8.08598110e+00 -2.31817805e-01 3.25680181e-21
260              2.30641404e+01 6.22580947e+02 1.29592115e-18 1.50029465e+01 6.22805875e+02 1.29257823e-18 8.06119385e+00 -2.24928338e-01 3.34292369e-21
270              2.19960155e+01 6.25462142e+02 1.28286029e-18 1.39561678e+01 6.25680524e+02 1.27999235e-18 8.03984772e+00 -2.18382547e-01 2.86794861e-21
280              2.20400701e+01 6.22912284e+02 1.27527644e-18 1.40181728e+01 6.23124379e+02 1.27309383e-18 8.02189736e+00 -2.12095062e-01 2.18261018e-21
290              2.23349211e+01 6.21420292e+02 1.28256232e-18 1.43282010e+01 6.21626704e+02 1.28018740e-18 8.00672008e+00 -2.06411899e-01 2.37491278e-21
300              2.23871615e+01 6.22700372e+02 1.29757225e-18 1.43914732e+01 6.22901282e+02 1.29465508e-18 7.99568838e+00 -2.00909848e-01 2.91717258e-21
310              2.24105105e+01 6.24849400e+02 1.29540869e-18 1.44238579e+01 6.25045635e+02 1.29216530e-18 7.98665255e+00 -1.96234791e-01 3.24338622e-21
320              2.14610623e+01 6.26118472e+02 1.26898058e-18 1.34831891e+01 6.26311336e+02 1.26628462e-18 7.97787324e+00 -1.92864388e-01 2.69595906e-21
330              2.12645427e+01 6.27663481e+02 1.27112074e-18 1.32941848e+01 6.27852682e+02 1.26791871e-18 7.97035790e+00 -1.89201075e-01 3.20203264e-21
340              2.10487381e+01 6.25998387e+02 1.28063118e-18 1.30839862e+01 6.26184170e+02 1.27690099e-18 7.96475193e+00 -1.85782957e-01 3.73018475e-21
350              2.04115445e+01 6.24104172e+02 1.25831880e-18 1.24503448e+01 6.24287510e+02 1.25560383e-18 7.96119970e+00 -1.83337918e-01 2.71497094e-21
360              2.02898800e+01 6.23800084e+02 1.27751175e-18 1.23301300e+01 6.23981506e+02 1.27528123e-18 7.95975007e+00 -1.81422834e-01 2.23052080e-21
370              1.98799164e+01 6.19628472e+02 1.26435659e-18 1.19226895e+01 6.19806614e+02 1.26173053e-18 7.95722684e+00 -1.78142789e-01 2.62605942e-21
