# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               -3.87495199e+02 1.53469723e+02 2.23665754e+02 -3.87268413e+02 1.57134115e+02 2.23709444e+02 -2.26785734e-01 -3.66439256e+00 -4.36903398e-02
20               1.22285705e+02 1.25175550e+01 -2.02825126e+02 1.22634581e+02 1.82944622e+01 -2.02752596e+02 -3.48876970e-01 -5.77690715e+00 -7.25300191e-02
30               2.41537365e+02 -2.07166012e+01 -2.90217778e+02 2.41971344e+02 -1.35951500e+01 -2.90136732e+02 -4.33978987e-01 -7.12145125e+00 -8.10460151e-02
40               2.63194591e+02 -2.25106616e+01 -3.08658930e+02 2.63648438e+02 -1.49891072e+01 -3.08573189e+02 -4.53847735e-01 -7.52155441e+00 -8.57402948e-02
50               2.75619740e+02 -2.15295687e+01 -3.22987924e+02 2.76058416e+02 -1.41152358e+01 -3.22897385e+02 -4.38676650e-01 -7.41433281e+00 -9.05395199e-02
60               2.87221769e+02 -2.10523676e+01 -3.37032876e+02 2.87634160e+02 -1.38998992e+01 -3.36936774e+02 -4.12390327e-01 -7.15246849e+00 -9.61016641e-02
70               2.98018040e+02 -2.06123163e+01 -3.49866003e+02 2.98400210e+02 -1.37523398e+01 -3.49762539e+02 -3.82169933e-01 -6.85997650e+00 -1.03464305e-01
80               3.11295139e+02 -2.01663544e+01 -3.66057993e+02 3.11647491e+02 -1.35929382e+01 -3.65947553e+02 -3.52351161e-01 -6.57341620e+00 -1.10440253e-01
90               3.23305340e+02 -1.96127085e+01 -3.80141780e+02 3.23631577e+02 -1.33022856e+01 -3.80023928e+02 -3.26237457e-01 -6.31042295e+00 -1.17851680e-01
100              3.34691265e+02 -1.90540826e+01 -3.93577315e+02 3.34992501e+02 -1.29772097e+01 -3.93450827e+02 -3.01235500e-01 -6.07687289e+00 -1.26487816e-01
110              3.41117608e+02 -1.85812304e+01 -4.00826080e+02 3.41395630e+02 -1.27148487e+01 -4.00691122e+02 -2.78022058e-01 -5.86638177e+00 -1.34957846e-01
120              3.47062630e+02 -1.81332868e+01 -4.07316852e+02 3.47320403e+02 -1.24414555e+01 -4.07173875e+02 -2.57772825e-01 -5.69183124e+00 -1.42977246e-01
130              3.51232026e+02 -1.75124976e+01 -4.11917222e+02 3.51472992e+02 -1.19606159e+01 -4.11767186e+02 -2.40965685e-01 -5.55188176e+00 -1.50036030e-01
140              3.53670173e+02 -1.73559402e+01 -4.15020374e+02 3.53896567e+02 -1.19202954e+01 -4.14864633e+02 -2.26393959e-01 -5.43564482e+00 -1.55741351e-01
150              3.60936916e+02 -1.68577638e+01 -4.23580440e+02 3.61149980e+02 -1.15186100e+01 -4.23418683e+02 -2.13064897e-01 -5.33915380e+00 -1.61756915e-01
160              3.65170722e+02 -1.64898916e+01 -4.28103310e+02 3.65372604e+02 -1.12218715e+01 -4.27934996e+02 -2.01882384e-01 -5.26802014e+00 -1.68314534e-01
170              3.68574270e+02 -1.65862135e+01 -4.31478090e+02 3.68767182e+02 -1.13663272e+01 -4.31303589e+02 -1.92912262e-01 -5.21988620e+00 -1.74500647e-01
180              3.72942153e+02 -1.63915959e+01 -4.37070125e+02 3.73127979e+02 -1.12003469e+01 -4.36889854e+02 -1.85826489e-01 -5.19124900e+00 -1.80270363e-01
190              3.78294271e+02 -1.60323422e+01 -4.43318550e+02 3.78473519e+02 -1.08652046e+01 -4.43133554e+02 -1.79247930e-01 -5.16713761e+00 -1.84996468e-01
200              3.80376918e+02 -1.56418468e+01 -4.46635469e+02 3.80549902e+02 -1.04956059e+01 -4.46446287e+02 -1.72984504e-01 -5.14624087e+00 -1.89181602e-01
210              3.81253252e+02 -1.50513320e+01 -4.48556641e+02 3.81419865e+02 -9.92630983e+00 -4.48363267e+02 -1.66612805e-01 -5.12502222e+00 -1.93374206e-01
220              3.81739089e+02 -1.47949512e+01 -4.50131486e+02 3.81899090e+02 -9.69088516e+00 -4.49933643e+02 -1.60001481e-01 -5.10406603e+00 -1.97842566e-01
230              3.83899957e+02 -1.48650532e+01 -4.53144340e+02 3.84053425e+02 -9.78027450e+00 -4.52941788e+02 -1.53468513e-01 -5.08477869e+00 -2.02552009e-01
240              3.84815743e+02 -1.50440046e+01 -4.54399251e+02 3.84964895e+02 -9.97443637e+00 -4.54193974e+02 -1.49151835e-01 -5.06956823e+00 -2.05276933e-01
250              3.87876349e+02 -1.47391194e+01 -4.58517606e+02 3.88021235e+02 -9.68538120e+00 -4.58309906e+02 -1.44886128e-01 -5.05373819e+00 -2.07699693e-01
260              3.89113092e+02 -1.44150877e+01 -4.60165913e+02 3.89253672e+02 -9.37684157e+00 -4.59955671e+02 -1.40580211e-01 -5.03824615e+00 -2.10241446e-01
270              3.90913839e+02 -1.37475097e+01 -4.62997104e+02 3.91050328e+02 -8.72260488e+00 -4.62784134e+02 -1.36489092e-01 -5.02490482e+00 -2.12969419e-01
280              3.89320178e+02 -1.37750438e+01 -4.61474717e+02 3.89452737e+02 -8.76135799e+00 -4.61259116e+02 -1.32559414e-01 -5.01368585e+00 -2.15600579e-01
290              3.88387683e+02 -1.39593257e+01 -4.60551771e+02 3.88516690e+02 -8.95512563e+00 -4.60333446e+02 -1.29007437e-01 -5.00420005e+00 -2.18325228e-01
300              3.89187733e+02 -1.39919760e+01 -4.62321989e+02 3.89313301e+02 -8.99467073e+00 -4.62100675e+02 -1.25568655e-01 -4.99730524e+00 -2.21314089e-01
310              3.90530875e+02 -1.40065690e+01 -4.64089648e+02 3.90653522e+02 -9.01491119e+00 -4.63866025e+02 -1.22646744e-01 -4.99165784e+00 -2.23623332e-01
320              3.91324045e+02 -1.34131639e+01 -4.65538758e+02 3.91444585e+02 -8.42699316e+00 -4.65313954e+02 -1.20540243e-01 -4.98617077e+00 -2.24803131e-01
330              3.92289676e+02 -1.32903392e+01 -4.67542239e+02 3.92407926e+02 -8.30886550e+00 -4.67315911e+02 -1.18250672e-01 -4.98147369e+00 -2.26327352e-01
340              3.91248992e+02 -1.31554613e+01 -4.67368806e+02 3.91365106e+02 -8.17749137e+00 -4.67140984e+02 -1.16114348e-01 -4.97796996e+00 -2.27822038e-01
350              3.90065108e+02 -1.27572153e+01 -4.66217559e+02 3.90179694e+02 -7.78146552e+00 -4.65988914e+02 -1.14586198e-01 -4.97574981e+00 -2.28645020e-01
360              3.89875052e+02 -1.26811750e+01 -4.66928242e+02 3.89988442e+02 -7.70633122e+00 -4.66698851e+02 -1.13389271e-01 -4.97484380e+00 -2.29390760e-01
370              3.87267795e+02 -1.24249477e+01 -4.64190229e+02 3.87379134e+02 -7.45168095e+00 -4.63958945e+02 -1.11339243e-01 -4.97326678e+00 -2.31284438e-01
380              3.87113392e+02 -1.26119278e+01 -4.64131828e+02 3.87223234e+02 -7.63952393e+00 -4.63899302e+02 -1.09841402e-01 -4.97240387e+00 -2.32526354e-01
390              3.87429601e+02 -1.28488960e+01 -4.65059684e+02 3.87538552e+02 -7.87522712e+00 -4.64826323e+02 -1.08951260e-01 -4.97366892e+00 -2.33360852e-01
400              3.88099073e+02 -1.28370376e+01 -4.66224414e+02 3.88207550e+02 -7.86076457e+00 -4.65990426e+02 -1.08476887e-01 -4.97627299e+00 -2.33987986e-01
410              3.86027055e+02 -1.21324609e+01 -4.64147847e+02 3.86135497e+02 -7.15149914e+00 -4.63913433e+02 -1.08441922e-01 -4.98096180e+00 -2.34413579e-01
420              3.85644134e+02 -1.24203793e+01 -4.64104325e+02 3.85752706e+02 -7.43421739e+00 -4.63869691e+02 -1.08571624e-01 -4.98616188e+00 -2.34633269e-01
