# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	4.82082780e-02	4	1.00000000e+00	4.58866950e-02	4	false	smoothSolver	1.00000000e+00	3.49210140e-02	4	true	smoothSolver	9.52406370e-03	4.90028060e-04	4	true	GAMG	1.00000000e+00	6.71883840e-02	7	true
2               	smoothSolver	4.49477890e-01	7.22786250e-03	4	3.58130110e-01	5.58713040e-03	4	false	smoothSolver	2.09460100e-01	6.56289300e-03	4	true	smoothSolver	1.27746130e-03	6.28235160e-05	4	true	GAMG	1.56084880e-01	1.07458790e-02	3	true
3               	smoothSolver	2.03454020e-01	4.34568210e-03	4	1.45774880e-01	3.06012610e-03	4	false	smoothSolver	9.23847810e-02	3.17264130e-03	4	true	smoothSolver	1.36409030e-03	6.35836790e-05	4	true	GAMG	1.98819300e-01	9.62328370e-03	2	true
4               	smoothSolver	1.04731100e-01	1.84040400e-03	4	7.54894540e-02	1.37035150e-03	4	false	smoothSolver	5.40079910e-02	2.00001320e-03	4	true	smoothSolver	1.65741700e-03	8.20220960e-05	4	true	GAMG	2.42918700e-01	2.24546750e-02	2	true
5               	smoothSolver	6.10502750e-02	1.15510230e-03	4	4.42376360e-02	8.24773990e-04	4	false	smoothSolver	3.67630160e-02	1.42725680e-03	4	true	smoothSolver	1.84734430e-03	9.37595250e-05	4	true	GAMG	2.72112510e-01	2.04559730e-02	3	true
6               	smoothSolver	3.92219460e-02	7.03915610e-04	4	2.92431110e-02	5.59692890e-04	4	false	smoothSolver	2.72538110e-02	1.09734570e-03	4	true	smoothSolver	1.83741050e-03	8.91462230e-05	4	true	GAMG	2.35067970e-01	1.69623110e-02	3	true
7               	smoothSolver	3.44981570e-02	5.95372860e-04	4	2.52659150e-02	4.61377250e-04	4	false	smoothSolver	2.14186290e-02	8.82024890e-04	4	true	smoothSolver	1.57653870e-03	8.08444570e-05	4	true	GAMG	1.86799280e-01	1.81715140e-02	2	true
8               	smoothSolver	4.51122530e-02	8.64957670e-04	4	3.04870660e-02	5.73879120e-04	4	false	smoothSolver	1.74250710e-02	7.38617640e-04	4	true	smoothSolver	1.37204220e-03	7.53256200e-05	4	true	GAMG	1.64724890e-01	1.62796190e-02	1	true
9               	smoothSolver	4.99583350e-02	9.84411510e-04	4	3.29012280e-02	6.36266690e-04	4	false	smoothSolver	1.45898620e-02	6.40451380e-04	4	true	smoothSolver	1.18855470e-03	7.05192500e-05	4	true	GAMG	1.65019990e-01	1.54374140e-02	1	true
10              	smoothSolver	4.37547170e-02	8.87535830e-04	4	2.98485200e-02	5.70588800e-04	4	false	smoothSolver	1.23782080e-02	5.56197320e-04	4	true	smoothSolver	1.07786310e-03	6.56961620e-05	4	true	GAMG	1.59276730e-01	9.22168010e-03	2	true
11              	smoothSolver	3.16082390e-02	6.72250000e-04	4	2.30402480e-02	4.45238270e-04	4	false	smoothSolver	1.06772810e-02	4.90630590e-04	4	true	smoothSolver	1.05040570e-03	6.33085800e-05	4	true	GAMG	1.83695650e-01	1.39766870e-02	2	true
12              	smoothSolver	2.31106590e-02	4.74894130e-04	4	1.83297800e-02	3.51069300e-04	4	false	smoothSolver	9.42695860e-03	4.41226960e-04	4	true	smoothSolver	1.03635270e-03	6.28927800e-05	4	true	GAMG	2.04461320e-01	1.63305630e-02	2	true
13              	smoothSolver	2.15096660e-02	3.97649840e-04	4	1.70252450e-02	2.97958220e-04	4	false	smoothSolver	8.47866930e-03	3.99686380e-04	4	true	smoothSolver	1.02623310e-03	6.27237960e-05	4	true	GAMG	2.25509550e-01	1.43599640e-02	2	true
14              	smoothSolver	2.31301990e-02	4.32988650e-04	4	1.75277270e-02	3.16593320e-04	4	false	smoothSolver	7.65361370e-03	3.62390210e-04	4	true	smoothSolver	9.96776080e-04	6.11496770e-05	4	true	GAMG	2.43650600e-01	9.33651320e-03	2	true
15              	smoothSolver	2.12197770e-02	4.13295700e-04	4	1.64200230e-02	2.91869100e-04	4	false	smoothSolver	6.92098650e-03	3.28601340e-04	4	true	smoothSolver	9.53689810e-04	5.80466450e-05	4	true	GAMG	2.46513400e-01	2.40245490e-02	1	true
16              	smoothSolver	1.77594960e-02	3.68346010e-04	4	1.40858450e-02	2.63366620e-04	4	false	smoothSolver	6.27555700e-03	2.98859490e-04	4	true	smoothSolver	8.97754790e-04	5.56467140e-05	4	true	GAMG	2.31677440e-01	2.24215510e-02	1	true
17              	smoothSolver	1.37276490e-02	2.90342380e-04	4	1.14723190e-02	2.13991220e-04	4	false	smoothSolver	5.72161700e-03	2.72170000e-04	4	true	smoothSolver	8.73438410e-04	5.37420470e-05	4	true	GAMG	2.05538680e-01	1.08488620e-02	2	true
18              	smoothSolver	1.11457820e-02	2.32836310e-04	4	9.47725970e-03	1.88843240e-04	4	false	smoothSolver	5.22638660e-03	2.48191980e-04	4	true	smoothSolver	8.49855550e-04	5.25050310e-05	4	true	GAMG	1.67944840e-01	8.91515560e-03	2	true
19              	smoothSolver	1.02535650e-02	2.15152950e-04	4	8.52994040e-03	1.74894640e-04	4	false	smoothSolver	4.79811830e-03	2.26698210e-04	4	true	smoothSolver	8.24244470e-04	5.09154050e-05	4	true	GAMG	1.34511040e-01	5.68840020e-03	2	true
20              	smoothSolver	1.03189600e-02	2.26727860e-04	4	8.35624690e-03	1.66788890e-04	4	false	smoothSolver	4.40444400e-03	2.07057420e-04	4	true	smoothSolver	7.97001410e-04	4.91491120e-05	4	true	GAMG	1.15248190e-01	3.66509270e-03	2	true
21              	smoothSolver	9.86701470e-03	2.33347930e-04	4	7.99325510e-03	1.63296510e-04	4	false	smoothSolver	4.04916340e-03	1.89357020e-04	4	true	smoothSolver	7.66724500e-04	4.70709030e-05	4	true	GAMG	1.00868910e-01	3.02653540e-03	2	true
22              	smoothSolver	9.13123580e-03	2.16072420e-04	4	7.42194380e-03	1.45901850e-04	4	false	smoothSolver	3.72938860e-03	1.73313560e-04	4	true	smoothSolver	7.36082390e-04	4.49465160e-05	4	true	GAMG	9.98134800e-02	9.47573590e-03	1	true
23              	smoothSolver	8.36361830e-03	2.01119570e-04	4	6.89483710e-03	1.35422190e-04	4	false	smoothSolver	3.43911170e-03	1.58848410e-04	4	true	smoothSolver	7.07489710e-04	4.31035090e-05	4	true	GAMG	9.23199830e-02	8.68724750e-03	1	true
24              	smoothSolver	7.84039980e-03	1.85974320e-04	4	6.53697410e-03	1.28788740e-04	4	false	smoothSolver	3.17558200e-03	1.46078360e-04	4	true	smoothSolver	6.81476830e-04	4.15742390e-05	4	true	GAMG	8.89246300e-02	8.84156890e-03	1	true
