# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	9.99999140e-01	6.25781090e-02	4	1.00000000e+00	2.73222130e-02	4	false	smoothSolver	1.00000000e+00	2.65505520e-02	4	true	smoothSolver	1.01630770e-02	5.13115750e-04	4	true	GAMG	1.00000000e+00	8.45063920e-02	5	true
2               	smoothSolver	3.82803100e-01	3.77089130e-02	2	5.64686440e-01	5.27097840e-02	2	false	smoothSolver	5.46051140e-01	5.32692350e-02	2	true	smoothSolver	2.75599350e-03	1.29521160e-04	4	true	GAMG	1.85759850e-01	9.69788660e-03	3	true
3               	smoothSolver	2.12530400e-01	4.08350970e-03	4	3.97743040e-01	6.67915200e-03	4	false	smoothSolver	3.73193230e-01	3.69056770e-02	2	true	smoothSolver	2.97099470e-03	1.36489770e-04	4	true	GAMG	1.70676110e-01	1.67457430e-02	1	true
4               	smoothSolver	1.16824710e-01	2.33077120e-03	4	2.72551670e-01	4.63660450e-03	4	false	smoothSolver	2.47156140e-01	5.22297050e-03	4	true	smoothSolver	3.27478250e-03	1.52699700e-04	4	true	GAMG	1.79180930e-01	7.70454540e-03	3	true
5               	smoothSolver	7.17726860e-02	1.39800790e-03	4	1.78791720e-01	2.95796360e-03	4	false	smoothSolver	1.62746240e-01	3.68530770e-03	4	true	smoothSolver	3.34394890e-03	1.53117080e-04	4	true	GAMG	1.92255380e-01	1.09395890e-02	3	true
6               	smoothSolver	5.16029030e-02	8.15179960e-04	4	1.16891680e-01	1.89720470e-03	4	false	smoothSolver	1.17700630e-01	2.76263360e-03	4	true	smoothSolver	3.77778920e-03	1.56385320e-04	4	true	GAMG	2.07029840e-01	1.24542300e-02	3	true
7               	smoothSolver	5.17845950e-02	4.96003370e-03	2	9.53059390e-02	8.82992480e-03	2	false	smoothSolver	9.04195310e-02	2.15610220e-03	4	true	smoothSolver	2.80789540e-03	1.23536480e-04	4	true	GAMG	2.23303300e-01	1.11749160e-02	3	true
8               	smoothSolver	6.61271700e-02	9.74693760e-04	4	1.04061600e-01	9.96567640e-03	2	false	smoothSolver	6.88152040e-02	1.70866990e-03	4	true	smoothSolver	2.24313630e-03	1.03920250e-04	4	true	GAMG	2.55282800e-01	1.78522190e-02	2	true
9               	smoothSolver	7.29157520e-02	1.09889510e-03	4	1.05571050e-01	1.58531180e-03	4	false	smoothSolver	5.42403470e-02	1.41138690e-03	4	true	smoothSolver	1.85253860e-03	8.94948800e-05	4	true	GAMG	2.27187300e-01	2.15696230e-02	1	true
10              	smoothSolver	6.72447910e-02	1.07339060e-03	4	9.45783270e-02	1.56135410e-03	4	false	smoothSolver	4.23981500e-02	1.15316630e-03	4	true	smoothSolver	1.50822490e-03	7.99907100e-05	4	true	GAMG	2.19762880e-01	1.19548900e-02	2	true
11              	smoothSolver	5.47554490e-02	9.53024730e-04	4	7.53315470e-02	1.32543270e-03	4	false	smoothSolver	3.37129530e-02	9.67196090e-04	4	true	smoothSolver	1.42307590e-03	7.76713210e-05	4	true	GAMG	2.22669510e-01	1.72714920e-02	2	true
12              	smoothSolver	4.37249600e-02	7.44644980e-04	4	6.22288030e-02	1.06260680e-03	4	false	smoothSolver	2.88014050e-02	8.46088710e-04	4	true	smoothSolver	1.42706920e-03	7.45345940e-05	4	true	GAMG	2.28067950e-01	1.95528360e-02	2	true
13              	smoothSolver	3.73753060e-02	6.15820920e-04	4	6.01882640e-02	9.41507880e-04	4	false	smoothSolver	2.48334940e-02	7.48593190e-04	4	true	smoothSolver	1.31513260e-03	7.10058990e-05	4	true	GAMG	2.45527820e-01	1.78147290e-02	2	true
14              	smoothSolver	3.29075910e-02	5.61747070e-04	4	6.45055470e-02	9.27967220e-04	4	false	smoothSolver	2.16683500e-02	6.62455800e-04	4	true	smoothSolver	1.18978000e-03	6.46856520e-05	4	true	GAMG	2.61489060e-01	1.37100440e-02	2	true
15              	smoothSolver	2.99110580e-02	5.68166290e-04	4	6.42266600e-02	1.01110740e-03	4	false	smoothSolver	1.86484400e-02	5.87827540e-04	4	true	smoothSolver	1.10022790e-03	5.96538750e-05	4	true	GAMG	2.67540660e-01	2.49458560e-02	1	true
16              	smoothSolver	2.44710290e-02	5.11400110e-04	4	5.68519740e-02	9.58179530e-04	4	false	smoothSolver	1.60720190e-02	5.17075320e-04	4	true	smoothSolver	1.00730930e-03	5.59597450e-05	4	true	GAMG	2.55275060e-01	2.29433090e-02	1	true
17              	smoothSolver	1.96615350e-02	4.38574920e-04	4	4.71291900e-02	8.52201650e-04	4	false	smoothSolver	1.40483820e-02	4.57621840e-04	4	true	smoothSolver	9.53957580e-04	5.31845210e-05	4	true	GAMG	2.48183770e-01	2.46294530e-02	1	true
