# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	-2.88478906e-01	-1.37668148e+00	1.08820257e+00	-1.97190724e+00	-1.88124049e+00	-9.06667480e-02	-8.95286871e-01	-1.23244202e+00	1.80299316e-01	3.85845324e-22	1.80299316e-01	-1.80299316e-01
20              	-3.97801735e-02	-1.04295796e-01	6.45156229e-02	-1.35049135e-01	-4.61165294e-02	-8.89326060e-02	2.14080383e-02	-8.44057097e-02	2.48626084e-02	-8.32911379e-22	2.48626084e-02	-2.48626084e-02
30              	9.42208549e-03	7.46223308e-02	-6.52002453e-02	1.11858061e-01	1.71621594e-01	-5.97635335e-02	1.15692564e-01	6.99112881e-02	-5.88880343e-03	-8.79881598e-22	-5.88880343e-03	5.88880343e-03
40              	1.02895253e-02	5.77639876e-02	-4.74744623e-02	8.41907600e-02	1.34342664e-01	-5.01519042e-02	9.22472842e-02	5.26192250e-02	-6.43095331e-03	-8.73876443e-22	-6.43095331e-03	6.43095331e-03
50              	1.13100497e-02	4.88762716e-02	-3.75662219e-02	6.91539949e-02	1.11648542e-01	-4.24945475e-02	7.70715449e-02	4.32212468e-02	-7.06878105e-03	-8.63885536e-22	-7.06878105e-03	7.06878105e-03
60              	1.13095541e-02	3.81987873e-02	-2.68892332e-02	5.20704163e-02	8.46394657e-02	-3.25690494e-02	5.86042575e-02	3.25440102e-02	-7.06847130e-03	-8.82720372e-22	-7.06847130e-03	7.06847130e-03
70              	1.07961343e-02	2.51135803e-02	-1.43174460e-02	3.15448210e-02	5.06518735e-02	-1.91070525e-02	3.48794630e-02	1.97155131e-02	-6.74758395e-03	-8.52526626e-22	-6.74758395e-03	6.74758395e-03
80              	9.36160958e-03	1.53482820e-02	-5.98667238e-03	1.70679635e-02	2.75746622e-02	-1.05066987e-02	1.90406804e-02	1.06674772e-02	-5.85100599e-03	-8.28216271e-22	-5.85100599e-03	5.85100599e-03
90              	1.62127099e-02	7.48969618e-02	-5.86842518e-02	1.06864971e-01	1.31317667e-01	-2.44526960e-02	7.78851814e-02	6.67906068e-02	-1.01329437e-02	-9.78173273e-22	-1.01329437e-02	1.01329437e-02
100             	2.45971421e-02	1.58053849e-01	-1.33456706e-01	2.33208444e-01	2.83909864e-01	-5.07014197e-02	1.67305642e-01	1.45755277e-01	-1.53732138e-02	-1.06047607e-21	-1.53732138e-02	1.53732138e-02
