# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               -4.41733324e+02 -3.01948296e+03 -5.90825653e-19 -4.47182306e+02 -3.01917623e+03 -5.84743757e-19 5.44898144e+00 -3.06727813e-01 -6.08189559e-21
20               -6.09133906e+01 -2.06793989e+02 1.27539555e-18 -6.93553618e+01 -2.06386007e+02 1.27645401e-18 8.44197120e+00 -4.07981433e-01 -1.05845670e-21
30               1.44275684e+01 1.71282656e+02 1.34731870e-18 4.01379743e+00 1.71796405e+02 1.34603186e-18 1.04137710e+01 -5.13749188e-01 1.28683940e-21
40               1.57558356e+01 1.28917101e+02 1.33812330e-18 4.74532896e+00 1.29490641e+02 1.33708857e-18 1.10105067e+01 -5.73539516e-01 1.03473123e-21
50               1.73185136e+01 1.05892055e+02 1.32282473e-18 6.43710918e+00 1.06467695e+02 1.32070603e-18 1.08814044e+01 -5.75640720e-01 2.11869615e-21
60               1.73177547e+01 7.97328250e+01 1.35166557e-18 6.80950103e+00 8.02990691e+01 1.35203623e-18 1.05082537e+01 -5.66244117e-01 -3.70664672e-22
70               1.65315807e+01 4.83030072e+01 1.30543140e-18 6.42858654e+00 4.88647885e+01 1.30506339e-18 1.01029941e+01 -5.61781344e-01 3.68001443e-22
80               1.43349647e+01 2.61353191e+01 1.26820617e-18 4.61368948e+00 2.66970638e+01 1.26810868e-18 9.72127518e+00 -5.61744730e-01 9.74807602e-23
90               2.48257121e+01 1.63636987e+02 1.49782782e-18 1.54682164e+01 1.64188569e+02 1.49783449e-18 9.35749573e+00 -5.51582418e-01 -6.66678199e-24
100              3.76643739e+01 3.57100430e+02 1.62385398e-18 2.86244383e+01 3.57621725e+02 1.62417491e-18 9.03993552e+00 -5.21294852e-01 -3.20933652e-22
110              4.34047716e+01 5.30233806e+02 1.58654761e-18 3.46635366e+01 5.30712014e+02 1.58687275e-18 8.74123501e+00 -4.78207807e-01 -3.25140941e-22
120              3.70664360e+01 6.51664645e+02 1.43171162e-18 2.85846263e+01 6.52091786e+02 1.42947613e-18 8.48180975e+00 -4.27140647e-01 2.23548318e-21
130              2.88506120e+01 7.33502296e+02 1.24624714e-18 2.05827228e+01 7.33878847e+02 1.24208593e-18 8.26788919e+00 -3.76550753e-01 4.16121828e-21
140              1.82163775e+01 7.95508499e+02 9.43181251e-19 1.01313308e+01 7.95834540e+02 9.49569367e-19 8.08504677e+00 -3.26040949e-01 -6.38811613e-21
150              1.04900057e+01 8.53092764e+02 7.09071154e-19 2.56009923e+00 8.53366467e+02 7.22402921e-19 7.92990648e+00 -2.73703230e-01 -1.33317669e-20
160              4.38120437e+00 8.91736358e+02 5.47813490e-19 -3.42968060e+00 8.91966597e+02 5.64183193e-19 7.81088497e+00 -2.30238231e-01 -1.63697022e-20
170              -2.16901598e+00 9.14338605e+02 4.23336270e-19 -9.87845693e+00 9.14534842e+02 4.41970552e-19 7.70944095e+00 -1.96237895e-01 -1.86342821e-20
180              -7.69637574e+00 9.29238884e+02 3.15363208e-19 -1.53168961e+01 9.29407114e+02 3.27334160e-19 7.62052035e+00 -1.68230203e-01 -1.19709516e-20
