# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               -1.88717685e+03 2.76083328e+02 1.37090802e+03 -1.88698514e+03 2.79488941e+02 1.37101169e+03 -1.91704883e-01 -3.40561340e+00 -1.03667167e-01
20               -1.29246243e+02 3.80708691e+01 -3.27810587e+01 -1.28991255e+02 4.33471011e+01 -3.26306170e+01 -2.54988396e-01 -5.27623200e+00 -1.50441704e-01
30               1.07051660e+02 -9.01723025e+00 -1.77154239e+02 1.07372753e+02 -2.50862339e+00 -1.76991359e+02 -3.21093243e-01 -6.50860686e+00 -1.62879713e-01
40               8.05731882e+01 -9.84739726e+00 -1.41253654e+02 8.09316504e+01 -2.96583060e+00 -1.41107573e+02 -3.58462197e-01 -6.88156666e+00 -1.46081210e-01
50               6.61825341e+01 -1.08240710e+01 -1.18015803e+02 6.65423096e+01 -4.02319324e+00 -1.17884172e+02 -3.59775450e-01 -6.80087774e+00 -1.31630658e-01
60               4.98330156e+01 -1.08235967e+01 -8.97377694e+01 5.01869182e+01 -4.25593814e+00 -8.96221615e+01 -3.53902573e-01 -6.56765854e+00 -1.15607841e-01
70               3.01893795e+01 -1.03322379e+01 -5.34091777e+01 3.05404928e+01 -4.01786659e+00 -5.33144271e+01 -3.51113340e-01 -6.31437134e+00 -9.47506564e-02
80               1.63345744e+01 -8.95935292e+00 -2.91560419e+01 1.66856649e+01 -2.88355593e+00 -2.90845279e+01 -3.51090456e-01 -6.07579699e+00 -7.15140204e-02
90               1.02273117e+02 -1.55160701e+01 -1.19261684e+02 1.02617856e+02 -9.66763524e+00 -1.19204281e+02 -3.44739011e-01 -5.84843483e+00 -5.74032285e-02
100              2.23187769e+02 -2.35402337e+01 -2.56186764e+02 2.23513578e+02 -1.78902740e+01 -2.56120832e+02 -3.25809283e-01 -5.64995970e+00 -6.59320071e-02
110              3.31396129e+02 -2.71279823e+01 -3.82716407e+02 3.31695009e+02 -2.16647104e+01 -3.82630598e+02 -2.98879879e-01 -5.46327188e+00 -8.58094534e-02
120              4.07290403e+02 -2.31665225e+01 -4.78153923e+02 4.07557366e+02 -1.78653914e+01 -4.78038916e+02 -2.66962904e-01 -5.30113109e+00 -1.15006278e-01
130              4.58438935e+02 -1.80316325e+01 -5.45347277e+02 4.58674279e+02 -1.28642017e+01 -5.45200688e+02 -2.35344221e-01 -5.16743074e+00 -1.46588346e-01
140              4.97192812e+02 -1.13852360e+01 -5.98535065e+02 4.97396587e+02 -6.33208173e+00 -5.98357394e+02 -2.03775593e-01 -5.05315423e+00 -1.77670647e-01
150              5.33182977e+02 -6.55625357e+00 -6.42054219e+02 5.33354042e+02 -1.60006202e+00 -6.41843787e+02 -1.71064519e-01 -4.95619155e+00 -2.10432725e-01
160              5.57335224e+02 -2.73825273e+00 -6.71436260e+02 5.57479123e+02 2.14355037e+00 -6.71199260e+02 -1.43898894e-01 -4.88180311e+00 -2.37000039e-01
170              5.71461628e+02 1.35563499e+00 -6.89712272e+02 5.71584277e+02 6.17403558e+00 -6.89456789e+02 -1.22648685e-01 -4.81840059e+00 -2.55483654e-01
180              5.80774303e+02 4.81023484e+00 -7.04842550e+02 5.80879447e+02 9.57306006e+00 -7.04574046e+02 -1.05143877e-01 -4.76282522e+00 -2.68504784e-01
190              5.89594514e+02 7.20841970e+00 -7.17588118e+02 5.89683348e+02 1.19235520e+01 -7.17307933e+02 -8.88336565e-02 -4.71513230e+00 -2.80185575e-01
200              5.98298814e+02 9.50193641e+00 -7.29941853e+02 5.98373957e+02 1.41731128e+01 -7.29653476e+02 -7.51428255e-02 -4.67117642e+00 -2.88376692e-01
210              6.12482462e+02 1.18934813e+01 -7.47147116e+02 6.12545351e+02 1.65221831e+01 -7.46853179e+02 -6.28882959e-02 -4.62870183e+00 -2.93937608e-01
220              6.21424970e+02 1.41004560e+01 -7.58795849e+02 6.21478113e+02 1.86878165e+01 -7.58499539e+02 -5.31432298e-02 -4.58736041e+00 -2.96309362e-01
230              6.29678457e+02 1.55524370e+01 -7.68358519e+02 6.29721916e+02 2.00914088e+01 -7.68061348e+02 -4.34590103e-02 -4.53897171e+00 -2.97170547e-01
240              6.35545307e+02 1.72679316e+01 -7.75916068e+02 6.35576999e+02 2.17562035e+01 -7.75615282e+02 -3.16915270e-02 -4.48827190e+00 -3.00785421e-01
250              6.40529271e+02 1.89592465e+01 -7.82666289e+02 6.40550006e+02 2.33932101e+01 -7.82363780e+02 -2.07344458e-02 -4.43396367e+00 -3.02508803e-01
260              6.41431937e+02 2.07281692e+01 -7.85272207e+02 6.41441495e+02 2.51066698e+01 -7.84967102e+02 -9.55856839e-03 -4.37850054e+00 -3.05105002e-01
270              6.42966062e+02 2.14929339e+01 -7.87644206e+02 6.42964256e+02 2.58140818e+01 -7.87336181e+02 1.80605354e-03 -4.32114793e+00 -3.08024166e-01
280              6.44666739e+02 2.27111297e+01 -7.90065007e+02 6.44653694e+02 2.69741989e+01 -7.89754595e+02 1.30454531e-02 -4.26306917e+00 -3.10411190e-01
290              6.49191391e+02 2.38051436e+01 -7.95597223e+02 6.49167908e+02 2.80139085e+01 -7.95284726e+02 2.34832800e-02 -4.20876493e+00 -3.12497066e-01
300              6.51360993e+02 2.31756217e+01 -7.97748029e+02 6.51326027e+02 2.73315196e+01 -7.97431740e+02 3.49663694e-02 -4.15589787e+00 -3.16288832e-01
310              6.55455421e+02 2.39096865e+01 -8.01990186e+02 6.55411769e+02 2.80152833e+01 -8.01673930e+02 4.36520002e-02 -4.10559678e+00 -3.16255687e-01
320              6.58501867e+02 2.39695690e+01 -8.04997621e+02 6.58449609e+02 2.80285488e+01 -8.04680465e+02 5.22571230e-02 -4.05897987e+00 -3.17156450e-01
